activity_name,best_match,confidence_score,category
صناعة الأثاث المنزلي,تجارة بالتجزئة للأثاث و أدوات التأثيث,0.863,rejected because has rejistre comercial or hirafi
محطة غسيل السياراة,محطة الغسل,0.93,rejected because has rejistre comercial or hirafi
conception system d'information,architecte systèmes d'information,0.918,exist
investissement,Other,0.764,new propodsed
طباخ جماعات,Other,0.739,new propodsed
كشك,خطاط,0.917,exist
بسكتة وحلويات ومواد الحم,إيداع الحلويات و المرطبات,0.897,rejected because has rejistre comercial or hirafi
صيانة صناعية,تصليح ماكينات الخياطة الصناعية,0.899,rejected because has rejistre comercial or hirafi
منظم المؤتمرات,منظم الملتقيات,0.879,exist
maintenance bureautique,Other,0.804,new propodsed
sérigraphie,Other,0.742,new propodsed
paysagiste et pépinière,paysagiste,0.94,exist
معالجة وتوزيع المياه,تصفية المياه المستعملة,0.902,rejected because has rejistre comercial or hirafi
transport,تسيير هياكل النقل البري,0.837,rejected because has rejistre comercial or hirafi
التصدير,Other,0.617,new propodsed
électricien automobile,كهرباء السيارات,0.93,rejected because has rejistre comercial or hirafi
نقل حضري,بيطار متنقل,0.866,rejected because has rejistre comercial or hirafi
مساعد,مساعد مخرج,0.927,exist
plomberies et pose de installation,electricien en balisage,0.863,exist
trading / التداول,Other,0.813,new propodsed
طباعة مختلف الوثائق وتصميم بطاقات شخصية,Other,0.8,new propodsed
menuiserie aluminium pvs,Other,0.742,new propodsed
services de loisirs et de récréation / خدمات الترفيه والتسلية,Other,0.661,new propodsed
coiffure esthétique,Other,0.828,new propodsed
installation et maintenance des paneaux solair,Other,0.792,new propodsed
30502,Other,0.558,new propodsed
بيع ماء صوالح للشرب,Other,0.784,new propodsed
توصيل,اﻟﺗﺟﻠﻳد,0.958,rejected because has rejistre comercial or hirafi
mécatronique,Other,0.73,new propodsed
استشارات نفسية وتربوية وتكوين وتدريب وتعليم,Other,0.749,new propodsed
سياقة درجة نارية,Other,0.76,new propodsed
استشارات نفسية و ارطوفونية,Other,0.605,new propodsed
prestation de servieces et conseils aux organismes de formations,Other,0.814,new propodsed
دهان,دهان متنقل,0.918,rejected because has rejistre comercial or hirafi
خياطة,اﻟﺳﺎﻗﻳﺔ,0.986,rejected because has rejistre comercial or hirafi
طباعة,طباعة روتوغرافية,0.926,exist
قاعة لعب,قاعة ألعاب,0.939,rejected because has rejistre comercial or hirafi
نجارة الاثاث,مؤسسة التنظيف ، الصيانة و التطهير,0.847,rejected because has rejistre comercial or hirafi
calligraphe,Other,0.662,new propodsed
yacht broker (courtier en bateau),Other,0.763,new propodsed
تصليح العجلات,Other,0.817,new propodsed
propriétaire loueur de bien immobilier,تأجير أملاك عقارية,0.866,rejected because has rejistre comercial or hirafi
تقني سيارات,ﺣرﻓﻲ ﻣﻳﻛﺎﻧﻳﻛﻲ اﻟﺳﻳﺎرات اﻟﺗﺻﻠﻳﺢ اﻟﻣﻳﻛﺎﻧﻳﻛﻲ ﻟﻠﺳﻳﺎرات,0.856,rejected because has rejistre comercial or hirafi
تصنيع وتحويل الرخام,ﺻﻧﺎﻋﺔ اﻟﻌوارض اﻹﺳﻣﻧﺗﻳﺔ,0.883,rejected because has rejistre comercial or hirafi
الحجامة والتدليك,تقني ارضية الصب,0.852,exist
انجاز اللوحات الاشهارية المضيئة و الغير مضيئة و الطبوعة,Other,0.828,new propodsed
travaux génie civil travaux bâtiment ou travaux maçonnerie,Other,0.808,new propodsed
guide touristique,دليل في السياحة,0.863,rejected because has rejistre comercial or hirafi
تركيب وصيانة الانترنت,Other,0.829,new propodsed
توصيل طلبيات الزباين,Other,0.777,new propodsed
agence de publicite,maquettiste d'exécution publicitaire,0.833,exist
تصليح الهواتف النقالة,ﺣرﻓﻲ ﻓﻲ ﺗﺻﻠﻳﺢ اﻟﻬﺎﺗف اﻟﺛﺎﺑت اﻟﻬﺎﺗف اﻟﻧﻘﺎﻝ وآﻻت اﻻﺗﺻﺎﻝ ﻋن ﺑﻌد,0.902,rejected because has rejistre comercial or hirafi
صنع الأطعمة و الأطباق المعدة,محضر الطعام,0.845,rejected because has rejistre comercial or hirafi
contrôle et inspection cnd,inspecteur de contrôle non destructif -cnd,0.857,exist
électricité batimant,electricien en balisage,0.929,exist
management,Other,0.762,new propodsed
maintenance électricité générale,responsable maintenance dépannage en électricité industrielle,0.846,exist
bureau d'affaire,مكتب أعمال,0.9,rejected because has rejistre comercial or hirafi
voyage et excursions  en ligne,Other,0.685,new propodsed
plombier,technicien de plancher,0.905,exist
designer d'espace,Other,0.793,new propodsed
conseiller en finances d'entreprises,conseiller en organisation d'entreprise,0.857,exist
artiste plasticienne,Other,0.813,new propodsed
conseiller en ressource humaine,مساعد في تسيير الموارد البشرية,0.879,exist
nettoyage et taches ménagers,مؤسسة التنظيف ، الصيانة و التطهير,0.883,rejected because has rejistre comercial or hirafi
تركيب وصيانة  الطاقة الشمسية,ﺣرﻓﻲ ﻓﻲ ﺗرﻛﻳب ﺗﺟﻬﻳزات وﻋﺗﺎد ﺗوﻟﻳد اﻟطﺎﻗﺔ اﻟﺷﻣﺳﻳﺔ,0.909,rejected because has rejistre comercial or hirafi
ساىق vtc,ﺑﻌد,0.865,rejected because has rejistre comercial or hirafi
بيع العتاد الكهربائي و الصناعي,كهربائي التجهيزات الصناعية,0.834,exist
حرفي في الواح الجبس,ﺣرﻓﻲ ﻓﻲ ﺗﻠﻔﻳف اﻟﺧﻳوط,0.947,rejected because has rejistre comercial or hirafi
voix off -معلق صوتي,Other,0.764,new propodsed
construction batiment,اﻟﺑﻧﺎء,0.884,rejected because has rejistre comercial or hirafi
نجار,ﺣرﻓﻲ ﻧﺟﺎر ﻓﻧﻲ,0.898,rejected because has rejistre comercial or hirafi
صانع حلويات تقليدية,حلويات تقليدية,0.866,rejected because has rejistre comercial or hirafi
agent immobilier,وكالة عقارية,0.857,rejected because has rejistre comercial or hirafi
التكييف و. التبريد,تقني في التبريد والتكييف,0.908,exist
العاب الالكترونية و العاب الترفيهية,Other,0.757,new propodsed
مشرف فني,ريجيسور فني,0.934,exist
agence de publicité,Other,0.823,new propodsed
مدرّب صوتي,Other,0.829,new propodsed
60000,Other,0.585,new propodsed
chaudronnier,technicien bobineur,0.892,exist
massagiste. kinésithérapeute. coach sportif. coach nutrition,Other,0.734,new propodsed
ديكور داخكي وخارجي,مجلخ متنقل,0.852,rejected because has rejistre comercial or hirafi
nettoyage locaux,مؤسسة التنظيف ، الصيانة و التطهير,0.85,rejected because has rejistre comercial or hirafi
plombier général,technicien galéniste,0.864,exist
financal markets trader,محلل السوق المالي,0.863,exist
plombier,technicien de plancher,0.905,exist
e-commerce,محلل التجارة الإلكترونية,0.953,exist
متخصصة في القياس النفسي والتقويم التربوي,Other,0.735,new propodsed
traiteur,Other,0.828,new propodsed
ingénieur d'affaires,ingénieur technico-commercial affaires industrielles,0.898,exist
formateur qhse,Other,0.726,new propodsed
investissement,Other,0.764,new propodsed
consulting,Other,0.78,new propodsed
consultant en marketing,chargé d'études en marketing,0.893,exist
تجهيز أثاث المطابخ والمحلات,Other,0.822,new propodsed
installateur sanitaire et thermique,Other,0.823,new propodsed
distribution agro-alimentaire,Other,0.777,new propodsed
مطال مرمم هياكل ودهان السيارات/التلحيم المتنوع,مطلة ودهن السيارات,0.838,rejected because has rejistre comercial or hirafi
chauffeur vtc (voiture de transport avec …سائق vtc (سيارة نقل مع سائق),chauffeur vtc (voiture de transport avec chauffeur),0.849,exist
gestionnaire de soumissions,Other,0.794,new propodsed
chef de projet construction,رسام تنفيذي في البناءات الميكانيكية,0.875,exist
guide touristique,دليل في السياحة,0.863,rejected because has rejistre comercial or hirafi
محاسبة وجباية,المحاسب المعتمد,0.841,rejected because has rejistre comercial or hirafi
تركيب الهوائيات المقعرة montage parabole,Other,0.781,new propodsed
تصميم و صناعة ديكور الأفراح,مؤسسة التصميم و التشكيل – ديزاين –,0.855,rejected because has rejistre comercial or hirafi
guide touristique,دليل في السياحة,0.863,rejected because has rejistre comercial or hirafi
coture,Other,0.747,new propodsed
مكوّن نظري و تطبيقي,Other,0.745,new propodsed
"fabrication d'emballages métalliques "" boîte de sardines""",Other,0.7,new propodsed
conseiller en gestion et commercialisation des centres commerciaux,Other,0.803,new propodsed
études et réalisation de projets de vrd,Other,0.656,new propodsed
ممرن سياقة,اﻟﻣﺷﺎﺗﻝ,0.943,rejected because has rejistre comercial or hirafi
immobiliers,ديوان الترقية و التسيير العقاري,0.874,rejected because has rejistre comercial or hirafi
إنشاء مواقع واب,Other,0.741,new propodsed
مهرج,مهرج,1.0,exist
مشرف على اعمال كل اعمال البناء,ﺻــــــﻧﺎﻋﺔ ﻣﻧﺗﺟــــــﺎت ﻣــــــن اﻟﺧﻳــــــزران و اﻟروطﺎن,0.976,rejected because has rejistre comercial or hirafi
formateur  autonome,Other,0.699,new propodsed
technicien smartphone,Other,0.786,new propodsed
conducteur de travaux,عامل تقطيع المصفحة,0.912,exist
maçon plambier,braseur,0.884,exist
تركيب اجهزة التتبع والتموقع,Other,0.701,new propodsed
conducteur d'engins,opérateur de cintreuse,0.944,exist
صانع محتى العاب . gamer,مطور ألعاب الفيديو,0.926,exist
gestionnaire des ressources humaines,assistant de gestion en ressources humaines,0.953,exist
analyste économique,analyste économique,1.0,exist
انتاج منزلي,شَيف منزلي,0.882,exist
relation et partenariats,Other,0.717,new propodsed
تركيب الألواح الجبسية والديكورات,مُنشئ في الديكور,0.842,exist
خدمات التوصيل,Other,0.821,new propodsed
مدقق لغوي,Other,0.811,new propodsed
interpretation de conference,Other,0.552,new propodsed
أعمال تهيئة,Other,0.828,new propodsed
مستشار فني,وكيل فني,0.894,exist
منكوش,ملحن,0.97,exist
architecte,Other,0.819,new propodsed
ongleriste à domicile,chef à domicile,0.868,exist
le drone (aéronotoque) et le parapent,Other,0.738,new propodsed
خياط,اﻟﻘرﻣﻳــد,0.962,rejected because has rejistre comercial or hirafi
gestion de comptes clients | conseillère en acquisition de talents,Other,0.75,new propodsed
artisan luthier,Other,0.76,new propodsed
entreprise d'étalonnage et qualification  des equipements et des équipements d'essai,Other,0.777,new propodsed
تمويل المؤسسات الحكومية بالمكاتب واثاث والمواد المكتبية,Other,0.656,new propodsed
product owner / product manager,Other,0.703,new propodsed
montage de jouet,Other,0.716,new propodsed
salle de jeux,قاعة ألعاب,0.967,rejected because has rejistre comercial or hirafi
livraison,Other,0.81,new propodsed
مرصص صحي,ﺣرﻓﻲ ﻣرﺻص اﻟﺗرﺻﻳص اﻟﺻﺣﻲ,0.841,rejected because has rejistre comercial or hirafi
sport,منشأة رياضية,0.858,rejected because has rejistre comercial or hirafi
habilleuse et photographe des mariée,Other,0.758,new propodsed
formation,Other,0.688,new propodsed
مجال البناء,ﺣرﻓﻲ ﺑﻧﺎء اﻟﺑﻧﺎء,0.938,rejected because has rejistre comercial or hirafi
sculpture sur bois,Other,0.788,new propodsed
préparation de produits destinés aux entreprises industrielles à base de produits miniers.,Other,0.796,new propodsed
coach mental / préparateur mental,Other,0.688,new propodsed
تنظيم رحلات,Other,0.789,new propodsed
aluco bond,Other,0.649,new propodsed
conseiller juridique,مكتب الاستشارة القانونية,0.925,rejected because has rejistre comercial or hirafi
مدرب مختص في مجال الحرف formateur em artisanat,Other,0.793,new propodsed
مركب في الاتصالات,مركب في الاتصالات,1.0,exist
صناعة مواد التنظيف,Other,0.813,new propodsed
"location, vente, achat du monnaie (dinars et devises)",Other,0.655,new propodsed
réalisateur des spot publicitaire,Other,0.799,new propodsed
secourisme,Other,0.711,new propodsed
رخام صناعي faux marbre,Other,0.759,new propodsed
"consultant en hygiène, sécurité et environement","coordinateur hygiène, sécurité et environnement en industrie",0.89,exist
travaux génie civil travaux bâtiment ou travaux maçonnerie,Other,0.808,new propodsed
إدارة أعمال,Other,0.822,new propodsed
مدرب تعليم متخصص,مدرب مدرسي,0.935,exist
coiffeuse à domicile,Other,0.722,new propodsed
designer d'intérieur,مصمم ديكور العرض,0.879,exist
خدمات صحية,Other,0.777,new propodsed
تجارة  الهواتف النقالة  والشرائح,Other,0.819,new propodsed
mécanique véhicule léger,مصلح متنقل للعجلات المطاطية,0.859,rejected because has rejistre comercial or hirafi
طباعة على مختلف الاشياء,ﺣرﻓﻲ ﻓﻲ اﻟطﺑﺎﻋﺔ ﻋﻠﻰ ﻣﺧﺗﻠف اﻟﻣواد اﻟطﺑﺎﻋﺔ ﻋﻠﻰ ﻣﺧﺗﻠف اﻟﻣواد,0.936,rejected because has rejistre comercial or hirafi
technicien hydraulique,hydraulicien,0.925,exist
التدريب في صيانة وبرمجة الهواتف المحمولة والحواسيب,Other,0.734,new propodsed
livreur,cadreur,0.87,exist
prothèse dentaire,Other,0.685,new propodsed
خبر في اصالة المنتوج التقليديمن حيث الجودة,Other,0.72,new propodsed
activité commercial et livraison,Other,0.817,new propodsed
تعليم اللغة الإنجليزية عن بعد,Other,0.702,new propodsed
agence immobilière digital,Other,0.782,new propodsed
طلاء المنازل  ديكور المنازل,Other,0.825,new propodsed
تقني réparation tv électronique,Other,0.828,new propodsed
flocage  et  personnalisation,Other,0.691,new propodsed
lavage de vitres,Other,0.757,new propodsed
électricité bâtiment réseau informatique et téléphoniques caméra de surveillance,Other,0.823,new propodsed
marque de vêtements,خياط أزياء العرض,0.857,exist
auditeur,habilleur,0.858,exist
trading et analyse des marchés extérieurs,Other,0.77,new propodsed
خبير استشاري جبائي,Other,0.827,new propodsed
us stock trader / تداول الاسهم الامريكية,وسطاء في عمليات البورصة,0.831,rejected because has rejistre comercial or hirafi
بناء محترف,اﻟﺑﻧﺎء,0.844,rejected because has rejistre comercial or hirafi
bureau affaire et servisse publique et écrivain publique,Other,0.752,new propodsed
الرسكلة,اﻟﺟﺎﻓﺔ,0.982,rejected because has rejistre comercial or hirafi
pppp,Other,0.511,new propodsed
pentur,خراط,0.937,exist
613203,Other,0.533,new propodsed
طبخ منزلي,طباخ(ة) منزلي(ة),0.938,exist
location de vélos electrique,Other,0.814,new propodsed
esthéticienne à domicile,Other,0.774,new propodsed
صناعة اطقم الأسنان,Other,0.784,new propodsed
عامل بناء,اﻟﺑﻧﺎء,0.864,rejected because has rejistre comercial or hirafi
responsable commercial,Other,0.827,new propodsed
مشاريع التسلية في أماكن الترفيه,استغلال قاعات الاستعراضات ، التسلية والترفيه الأخرى,0.877,rejected because has rejistre comercial or hirafi
تصليح الهواتف النقالة,ﺣرﻓﻲ ﻓﻲ ﺗﺻﻠﻳﺢ اﻟﻬﺎﺗف اﻟﺛﺎﺑت اﻟﻬﺎﺗف اﻟﻧﻘﺎﻝ وآﻻت اﻻﺗﺻﺎﻝ ﻋن ﺑﻌد,0.902,rejected because has rejistre comercial or hirafi
la plombier général et chaudière,عون صيانة في التبريد,0.873,exist
مكتبة وراقة و خدمات إعلامية و إعلام آلي و أكسسوارات,Other,0.806,new propodsed
télépilote ou opérateur de drone,Other,0.633,new propodsed
بائع الأدوات المدرسية و الزيوت العطرية المركزة,Other,0.804,new propodsed
vente à distance,Other,0.782,new propodsed
حلاق,اﻟﺟﺎﻓﺔ,0.974,rejected because has rejistre comercial or hirafi
immobilier,إدارة الأملاك العقارية,0.874,rejected because has rejistre comercial or hirafi
bureaux d'études,chargé d'études prospectives,0.844,exist
prothesiste dentaire,Other,0.68,new propodsed
fabrication de produits d'entretien pour véhicules,ﺻﻧﺎﻋﺔ ﻟواﺣق ﻣﺧﺗﻠف اﻟﻣرﻛﺑﺎت,0.876,rejected because has rejistre comercial or hirafi
international sourcing agent,Other,0.621,new propodsed
استخلاص إنزيمات و البكتيريا من مصدر نباتي,Other,0.572,new propodsed
location de voiture avec chauffeur,كراء السيارات مع أو بدون سائق,0.862,rejected because has rejistre comercial or hirafi
youtubeur,Other,0.701,new propodsed
commerce vente,تجارة بالتجزئة للبزاة ، الممارسة على العرض,0.862,rejected because has rejistre comercial or hirafi
motion designer,motion designer,1.0,exist
livreur,cadreur,0.87,exist
دهان متنقل,دهان متنقل,1.0,rejected because has rejistre comercial or hirafi
كهرباء  منزلية .,مصلح أجهزة كهربائية منزلية,0.869,exist
graveur tampon,Other,0.792,new propodsed
consultant ressources humaines,assistant ressources humaines,0.909,exist
expert en inspection et intégrité des installations industrielles,Other,0.809,new propodsed
sérigraphie,Other,0.742,new propodsed
géomètre topographe,géochimiste,0.849,exist
filmmaker \ videographer,مخرج فيديو كليب,0.919,exist
placoplâtre,Other,0.703,new propodsed
"électricité, fenêtres et portes en aluminium (pvc)",Other,0.647,new propodsed
fabrication des caisse,Other,0.791,new propodsed
placoplatre,Other,0.745,new propodsed
technicien en courant faible,technicien de monte-charges,0.913,exist
حلاق رجال,ﺣرﻓﻲ ﺣﻼق اﻟرﺟﺎﻝ ﺣﻼﻗﺔ اﻟرﺟﺎﻝ,0.868,rejected because has rejistre comercial or hirafi
"vente , installation et maintunance des équipements electro-informatique, courant faible ,domotique ,home automation",Other,0.811,new propodsed
restaurant,مطعم.,0.98,rejected because has rejistre comercial or hirafi
réglage de parabole et installation de démou,Other,0.808,new propodsed
fabrication de produits d'entretien pour véhicules,ﺻﻧﺎﻋﺔ ﻟواﺣق ﻣﺧﺗﻠف اﻟﻣرﻛﺑﺎت,0.876,rejected because has rejistre comercial or hirafi
travaux d'assistance comptable financier et informatique,Other,0.789,new propodsed
تلميع السيارات,مطلة ودهن السيارات,0.953,rejected because has rejistre comercial or hirafi
متابعة و اصلاح المعدات الصناعية,ميكانيكي التدقيق في التصنيع,0.85,exist
التجارة الإلكترونية,محلل التجارة الإلكترونية,0.984,exist
arts-arts du spectacle,chargé artistique spectacle,0.876,exist
انشاء محطات الطاقة الشمسية,ﺣرﻓﻲ ﻓﻲ ﺗرﻛﻳب ﺗﺟﻬﻳزات وﻋﺗﺎد ﺗوﻟﻳد اﻟطﺎﻗﺔ اﻟﺷﻣﺳﻳﺔ,0.876,rejected because has rejistre comercial or hirafi
esthétique et beauté,Other,0.687,new propodsed
محل تجاري,اﻟﻣﺣﻼت,0.942,rejected because has rejistre comercial or hirafi
développement de produit et fabrication des prototypaes  / تطوير المنتجات و صناعة النماذج الأولية,Other,0.689,new propodsed
كهرباء المنازل,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.845,rejected because has rejistre comercial or hirafi
صناعة الحلويات التقليدية,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.932,rejected because has rejistre comercial or hirafi
levreur,monteur en lunetterie,0.846,exist
خدمات الإعلام الألي,محلل شبكة الإعلام الآلي,0.863,exist
expert formateur en industrie,technicien méthodes en industrie,0.851,exist
plomberie,remouleur,0.88,exist
technicien en froid et climatisation,technicien en froid et climatisation,1.0,exist
مكتب أعمال,مكتب أعمال,1.0,rejected because has rejistre comercial or hirafi
installateur fibre optique,poseur tireur de câbles en fibre optique,0.871,exist
العائلات المنتج,ﺣرﻓﻲ ﺻﺎﻧﻊ ﻋدة اﻷﺳرة ﺻﻧﺎﻋﺔ ﻋدة اﻷﺳرة,0.832,rejected because has rejistre comercial or hirafi
دهن وديكورات المنازل,مُنشئ في الديكور,0.874,exist
conseiller en comptabilité,الخبير المحاسب,0.922,rejected because has rejistre comercial or hirafi
affichage,Other,0.795,new propodsed
la plomberie,opérateur de cintreuse,0.87,exist
التامينات,Other,0.653,new propodsed
aide pour la procédures de prise des rendez-vous et préparation dossier de visa,Other,0.613,new propodsed
gâteaux traditionnel,حلويات تقليدية,0.921,rejected because has rejistre comercial or hirafi
modeleur sur plâtre   (صانع النماذج الجبسية),modeleur sur plâtre,0.953,exist
home automation système,Other,0.666,new propodsed
services de relevé du bâti en photogrammetrie et lasergrametrie / modélisation bim,Other,0.748,new propodsed
plomberi,opérateur de cintreuse,0.876,exist
بائع,Other,0.81,new propodsed
petite production avec machine cnc,Other,0.812,new propodsed
chorégraphie,Other,0.783,new propodsed
تلميع السيارات,مطلة ودهن السيارات,0.953,rejected because has rejistre comercial or hirafi
تربية النحل,Other,0.647,new propodsed
arts-arts du spectacle,chargé artistique spectacle,0.876,exist
قاعة العاب,قاعة ألعاب,0.975,rejected because has rejistre comercial or hirafi
je ne sais pas,Other,0.648,new propodsed
peintre en batiments,peintre en décor spectacle,0.893,exist
vétérinaire,Other,0.712,new propodsed
حلاق للرجال,ﺣرﻓﻲ ﺣﻼق اﻟرﺟﺎﻝ ﺣﻼﻗﺔ اﻟرﺟﺎﻝ,0.9,rejected because has rejistre comercial or hirafi
centrale d'achat  مجمع تجاري,ﺻــــــــﻧﺎﻋﺔ اﻟﻬﻼﻟﻳــــــــﺎت و اﻟﺣﻠوﻳــــــــﺎت,0.897,rejected because has rejistre comercial or hirafi
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
intermidiaire commercial (trader),Other,0.794,new propodsed
تحويل الرخام والڨرانيت,ﺗﺷﻛﻳﻝ ﻗواﻟب ﺻب إاﺳﻣﻧت,0.902,rejected because has rejistre comercial or hirafi
مرصص متنقل,مرصص متنقل,1.0,rejected because has rejistre comercial or hirafi
التسويق بالعمولة,Other,0.828,new propodsed
décoration et rénovation de maison,Other,0.798,new propodsed
jcp,Other,0.584,new propodsed
support des agences de voyages  دعم وكالات السفر,Other,0.748,new propodsed
اكاديمية لغات اجنبية و تكوين مهني,Other,0.799,new propodsed
boîte de communication,تقني تركيب في الاتصالات,0.85,exist
services de relevé du bâti en photogrammetrie et lasergrametrie / modélisation bim,Other,0.748,new propodsed
enterprise électricité générale,Other,0.697,new propodsed
plombier,technicien de plancher,0.905,exist
تغليف الاصطح,توضيب  البلاطو,0.963,exist
غسل السيارات متنقل,ﺣرﻓﻲ ﻓﻲ ﺗﻧظﻳف و ﻏﺳﻝ اﻟﻣرﻛﺑﺎت ﺗﻧظﻳف و ﻏﺳﻝ اﻟﻣرﻛﺑﺎت,0.877,rejected because has rejistre comercial or hirafi
إتصلات,Other,0.729,new propodsed
plombier  سمكري,technicien bobineur,0.909,exist
بناء,اﻟﺑﻧﺎء,0.987,rejected because has rejistre comercial or hirafi
التجارة الالكترونية,محلل التجارة الإلكترونية,0.984,exist
الحجامة,Other,0.814,new propodsed
formateur en conception électricité basse tension,opérateur étalonnage électricité-électronique,0.858,exist
نموذج للتجارة الإلكترونية بنمط الوساطة,محلل سوق التجارة الإلكترونية,0.918,exist
technicien  en  laboratoire  dentaire,طبيب رمامة الأسنان ( رمامة الأسنان,0.871,rejected because has rejistre comercial or hirafi
خدمات محاسبية وجبائية,مؤسسة المحاسبة,0.866,rejected because has rejistre comercial or hirafi
l'entreprise est petite dans le domaine de la vente et de la livraison de commandes à domicile,Other,0.594,new propodsed
maçon,مرشات,0.858,rejected because has rejistre comercial or hirafi
conseils d'achat,Other,0.721,new propodsed
